;rxcui;drug_name;clean_name;rxcui_x;variable;rxcui_y;name;atc
6;211666.0;Zerocream  Cream;Zerocream Cream;211666.0;IN;6922.0;metronidazole;['A01AB17', 'D06BX01', 'G01AF01', 'J01XD01', 'P01AB01']
7;2480108.0;Kenalog  Suspension For Injection  40 mg/ml  1 ml vial;Kenalog Suspension For Injection 40 Mg Ml 1 Ml Vial;2480108.0;IN;10759.0;triamcinolone;['A01AC01', 'C05AA12', 'D07AB09', 'D07XB02', 'H02AB08', 'R01AD11', 'R03BA06', 'S01BA05']
8;1995543.0;Humapen Luxura Pen Burgundy 3ml 1-60units;Humapen Luxura Pen Burgundy 3Ml 1-60Units;1995543.0;IN;1995537.0;voretigene neparvovec;['S01XA27']
10;1090496.0;Clinifast  Vest Long Sleeve  Medium Adult;Clinifast Vest Long Sleeve Medium Adult;1090496.0;IN;3289.0;dextromethorphan;['R05DA09']
11;209990.0;Dreamskin  Briefs  Female Adult Small;Dreamskin Briefs Female Adult Small;209990.0;IN;10223.0;sulfur;['D10AB02']
18;1367410.0;Humapen Ergo Pen Burgundy 3ml 1 Unit 1-60 Units;Humapen Ergo Pen Burgundy 3Ml 1 Unit 1-60 Units;1367410.0;IN;4018.0;ergocalciferol;['A11CC01']
23;2593946.0;Humapen Luxura  Re-usable pen  3 ml  1-60 units  Burgundy;Humapen Luxura Re-Usable Pen 3 Ml 1-60 Units Burgundy;2593946.0;IN;10847.0;tripelennamine;['D04AA04', 'R06AC04']
28;283297.0;Sulphasalazine  E/C Tablets  500 mg;Sulphasalazine E C Tablets 500 Mg;283297.0;IN;11256.0;vitamin E;['A11HA03']
29;1422103.0;Epaderm Cream Emollient 500g Pump;Epaderm Cream Emollient 500G Pump;1422103.0;IN;6387.0;lidocaine;['C01BB01', 'C05AD01', 'D04AB01', 'N01BB02', 'R02AD02', 'S01HA07', 'S02DA01']
31;1422103.0;Epaderm  Cream;Epaderm Cream;1422103.0;IN;6387.0;lidocaine;['C01BB01', 'C05AD01', 'D04AB01', 'N01BB02', 'R02AD02', 'S01HA07', 'S02DA01']
33;1999003.0;SOFT CLIX II LANCETS;Soft Clix Ii Lancets;1999003.0;IN;1999003.0;angiotensin II;['C01CX09']
34;1493160.0;Sharpsafe  Container  1 litre;Sharpsafe Container 1 Litre;1493160.0;IN;1378.0;benzalkonium;['D08AJ01', 'D09AA11', 'R02AA16']
35;801169.0;Vita-Pos  Eye ointment (preservative-free);Vita-Pos Eye Ointment Preservative-Free;801169.0;IN;11248.0;vitamin B12;['B03BA01']
37;155046.0;Prontosan  Wound Gel;Prontosan Wound Gel;155046.0;PIN;134413.0;pentosan polysulphate sodium;['C05BA04', 'G04BX15']
39;312984.0;Optiflo S  Catheter Solution Saline  0.9 %  100 ml;Optiflo S Catheter Solution Saline 0.9 % 100 Ml;312984.0;IN;9863.0;sodium chloride;['A12CA01', 'B05CB01', 'B05XA03']
40;1038982.0;Qv Gentle  Wash;Qv Gentle Wash;1038982.0;IN;9525.0;salicylic acid;['D01AE12', 'S01BC08']
41;240725.0;Accucheck Soft Clix Lancets APPL;Accucheck Soft Clix Lancets Appl;240725.0;IN;10223.0;sulfur;['D10AB02']
45;1251583.0;ADVANTAGE II PLASTIC REAGENT STRIP;Advantage Ii Plastic Reagent Strip;1251583.0;IN;1047072.0;moxidectin;['P02CX03']
46;197877.0;Coban 2 Lite  Multi-layer Compression Bandaging Kit  one size;Coban 2 Lite Multi-Layer Compression Bandaging Kit One Size;197877.0;IN;6387.0;lidocaine;['C01BB01', 'C05AD01', 'D04AB01', 'N01BB02', 'R02AD02', 'S01HA07', 'S02DA01']
47;1543069.0;Debrisoft  Physical Debridement Pad  10 cm x 10 cm;Debrisoft Physical Debridement Pad 10 Cm X 10 Cm;1543069.0;IN;6387.0;lidocaine;['C01BB01', 'C05AD01', 'D04AB01', 'N01BB02', 'R02AD02', 'S01HA07', 'S02DA01']
48;1422107.0;Comfifast  Stockinette  7.5 cm x 5 m (blue line);Comfifast Stockinette 7.5 Cm X 5 M Blue Line;1422107.0;IN;6387.0;lidocaine;['C01BB01', 'C05AD01', 'D04AB01', 'N01BB02', 'R02AD02', 'S01HA07', 'S02DA01']
52;799040.0;Fostair  Cfc-free inhaler  200 micrograms + 6 micrograms/dose;Fostair Cfc-Free Inhaler 200 Micrograms + 6 Micrograms Dose;799040.0;IN;274964.0;ciclesonide;['R01AD13', 'R03BA08']
54;1235569.0;Vismed Multi  Eye drops (preservative-free)  0.18 %;Vismed Multi Eye Drops Preservative-Free 0.18 %;1235569.0;IN;37935.0;tetrahydrozoline;['R01AA06', 'R01AB03', 'S01GA02']
57;1655960.0;Sodium Hyaluronate  Eye drops (preservative-free)  0.18 %;Sodium Hyaluronate Eye Drops Preservative-Free 0.18 %;1655960.0;IN;6851.0;methotrexate;['L01BA01', 'L04AX03']
59;312984.0;Optiflo S  Catheter Solution Saline  0.9 %  50 ml;Optiflo S Catheter Solution Saline 0.9 % 50 Ml;312984.0;IN;9863.0;sodium chloride;['A12CA01', 'B05CB01', 'B05XA03']
66;1422107.0;Elasticated Viscose  Stockinette  7.5 cm x 5 m (blue line);Elasticated Viscose Stockinette 7.5 Cm X 5 M Blue Line;1422107.0;IN;6387.0;lidocaine;['C01BB01', 'C05AD01', 'D04AB01', 'N01BB02', 'R02AD02', 'S01HA07', 'S02DA01']
67;309714.0;Tear-Lac  Eye drops (preservative-free)  0.3 %;Tear-Lac Eye Drops Preservative-Free 0.3 %;309714.0;IN;27334.0;hypromellose;['S01KA02']
69;309714.0;Tear-Lac Hypromellose  Eye drops (preservative-free)  0.3 %;Tear-Lac Hypromellose Eye Drops Preservative-Free 0.3 %;309714.0;IN;27334.0;hypromellose;['S01KA02']
75;1044949.0;Vitalograph  Peak flow meter (standard range)  Adult  43602;Vitalograph Peak Flow Meter Standard Range Adult 43602;1044949.0;IN;3289.0;dextromethorphan;['R05DA09']
76;1233540.0;OPTIPEN PRO 1 PEN GREEN 3ML 1 UNIT 1-60 UNITS;Optipen Pro 1 Pen Green 3Ml 1 Unit 1-60 Units;1233540.0;IN;7980.0;penicillin G;['J01CE01', 'S01AA14']
76;1233540.0;OPTIPEN PRO 1 PEN GREEN 3ML 1 UNIT 1-60 UNITS;Optipen Pro 1 Pen Green 3Ml 1 Unit 1-60 Units;1233540.0;PIN;7983.0;penicillin G procaine;['J01CE09']
82;198750.0;Methylcellulose  Tablets  500 mg;Methylcellulose Tablets 500 Mg;198750.0;IN;6873.0;methylcellulose;['A06AC06']
84;1495050.0;Nebusal  Inhalation Solution Sterile  7 %  4 ml vial;Nebusal Inhalation Solution Sterile 7 % 4 Ml Vial;1495050.0;IN;9863.0;sodium chloride;['A12CA01', 'B05CB01', 'B05XA03']
87;1251583.0;ADVANTAGE 2 REAGENT STRIP;Advantage 2 Reagent Strip;1251583.0;IN;1047072.0;moxidectin;['P02CX03']
89;1488329.0;Dermatonics Once Heel  Balm;Dermatonics Once Heel Balm;1488329.0;IN;1426.0;benzyl alcohol;['P03AX06']
91;1090496.0;Comfifast Easy Wrap  Vest Long Sleeve  small adult;Comfifast Easy Wrap Vest Long Sleeve Small Adult;1090496.0;IN;3289.0;dextromethorphan;['R05DA09']
92;198750.0;Methylcellulose 450 TABS 500MG;Methylcellulose 450 Tabs 500Mg;198750.0;IN;6873.0;methylcellulose;['A06AC06']
93;1488329.0;Flexitol Heel  Balm;Flexitol Heel Balm;1488329.0;IN;1426.0;benzyl alcohol;['P03AX06']
94;1164620.0;Hydromoor  Eye Drops Unit Dose  Preservative Free  0.3 %  0.4 ml unit dose;Hydromoor Eye Drops Unit Dose Preservative Free 0.3 % 0.4 Ml Unit Dose;1164620.0;IN;3423.0;hydromorphone;['N02AA03']
95;151875.0;Hydromol Emollient Ointment 500g;Hydromol Emollient Ointment 500G;151875.0;IN;27084.0;homatropine;['S01FA05']
96;309150.0;Activated Charcoal  Suspension  50 grams/240 ml;Activated Charcoal Suspension 50 Grams 240 Ml;309150.0;IN;272.0;activated charcoal;['A07BA01']
99;1868847.0;Laxido Orange  Oral Powder Sachets Sugar Free;Laxido Orange Oral Powder Sachets Sugar Free;1868847.0;IN;6873.0;methylcellulose;['A06AC06']
100;581662.0;one touch ultrasoft lancets;One Touch Ultrasoft Lancets;581662.0;IN;448.0;ethanol;['D08AX08', 'V03AB16', 'V03AZ01']
102;220601.0;One Touch Ultra Reagent strip;One Touch Ultra Reagent Strip;220601.0;IN;11002.0;urea;['B05BC02', 'D02AE01']
106;1994404.0;ACCU CHECK ACTIVE;Accu Check Active;1994404.0;IN;9525.0;salicylic acid;['D01AE12', 'S01BC08']
107;1369778.0;Thealoz Duo  Eye Drops  Preservative Free;Thealoz Duo Eye Drops Preservative Free;1369778.0;IN;1418.0;benzoyl peroxide;['D10AE01']
110;151875.0;Hydromol  Ointment;Hydromol Ointment;151875.0;IN;27084.0;homatropine;['S01FA05']
111;581662.0;One touch Ultrasoft BAR Lancets;One Touch Ultrasoft Bar Lancets;581662.0;IN;448.0;ethanol;['D08AX08', 'V03AB16', 'V03AZ01']
116;2119240.0;Octenilin  Wound Gel;Octenilin Wound Gel;2119240.0;IN;2119240.0;octenidine;['A01AB24', 'R02AA21']
117;155046.0;Prontosan  Wound Irrigation Solution  Bottle;Prontosan Wound Irrigation Solution Bottle;155046.0;PIN;134413.0;pentosan polysulphate sodium;['C05BA04', 'G04BX15']
118;2627283.0;Hy-Opti  Preservative-free eye drops  0.1 %;Hy-Opti Preservative-Free Eye Drops 0.1 %;2627283.0;IN;10637.0;tolnaftate;['D01AE18']
119;1243415.0;Adcal-D3  Caplets  750 mg + 5 micrograms (200 units);Adcal-D3 Caplets 750 Mg + 5 Micrograms 200 Units;1243415.0;IN;1897.0;calcium carbonate;['A02AC01', 'A12AA04']
120;1438119.0;Renasys Go Canister Kit  300 ml with solidifier  Small;Renasys Go Canister Kit 300 Ml With Solidifier Small;1438119.0;IN;7980.0;penicillin G;['J01CE01', 'S01AA14']
120;1438119.0;Renasys Go Canister Kit  300 ml with solidifier  Small;Renasys Go Canister Kit 300 Ml With Solidifier Small;1438119.0;PIN;7983.0;penicillin G procaine;['J01CE09']
126;1483141.0;Tubifast 2-Way Stretch  Socks  One Size;Tubifast 2-Way Stretch Socks One Size;1483141.0;IN;324072.0;dimethicone;['P03AX05']
127;209990.0;Comfifast Easy Wrap  Leggings  large adult;Comfifast Easy Wrap Leggings Large Adult;209990.0;IN;10223.0;sulfur;['D10AB02']
128;5657.0;PEAK FLOW METER MICROPEAK EN ISO 23747:2007 STANDARD RANGE;Peak Flow Meter Micropeak En Iso 23747:2007 Standard Range;5657.0;IN;5657.0;ifosfamide;['L01AA06']
130;152000.0;GLUCOTREND PLUS REAGENT STRIP;Glucotrend Plus Reagent Strip;152000.0;IN;612.0;aluminum hydroxide;['A02AB01']
132;800985.0;Solution R  Catheter maintenance solution  6 %;Solution R Catheter Maintenance Solution 6 %;800985.0;IN;56443.0;sodium acetate;['B05XA08']
134;801169.0;Vita-Pos  Eye ointment;Vita-Pos Eye Ointment;801169.0;IN;11248.0;vitamin B12;['B03BA01']
