rxcui,atc
6922,"['A01AB17', 'D06BX01', 'G01AF01', 'J01XD01', 'P01AB01']"
10759,"['A01AC01', 'C05AA12', 'D07AB09', 'D07XB02', 'H02AB08', 'R01AD11', 'R03BA06', 'S01BA05']"
1995537,['S01XA27']
3289,['R05DA09']
10223,['D10AB02']
4018,['A11CC01']
10847,"['D04AA04', 'R06AC04']"
11256,['A11HA03']
6387,"['C01BB01', 'C05AD01', 'D04AB01', 'N01BB02', 'R02AD02', 'S01HA07', 'S02DA01']"
1999003,['C01CX09']
1378,"['D08AJ01', 'D09AA11', 'R02AA16']"
11248,['B03BA01']
9863,"['A12CA01', 'B05CB01', 'B05XA03']"
9525,"['D01AE12', 'S01BC08']"
1047072,['P02CX03']
274964,"['R01AD13', 'R03BA08']"
37935,"['R01AA06', 'R01AB03', 'S01GA02']"
6851,"['L01BA01', 'L04AX03']"
27334,['S01KA02']
7980,"['J01CE01', 'S01AA14']"
6873,['A06AC06']
1426,['P03AX06']
3423,['N02AA03']
27084,['S01FA05']
272,['A07BA01']
448,"['D08AX08', 'V03AB16', 'V03AZ01']"
11002,"['B05BC02', 'D02AE01']"
1418,['D10AE01']
2119240,"['A01AB24', 'R02AA21']"
10637,['D01AE18']
1897,"['A02AC01', 'A12AA04']"
324072,['P03AX05']
5657,['L01AA06']
612,['A02AB01']
56443,['B05XA08']
161,['N02BE01']
36387,['A06AB06']
8120,['G04BX06']
1399,"['C05AD03', 'D04AB04', 'N01BA05', 'R02AD01']"
10171,['J01EC02']
8163,"['C01CA06', 'R01AA04', 'R01AB01', 'R01BA03', 'S01FB01', 'S01GA05']"
6854,"['D05AD02', 'D05BA02']"
10172,['J01ED01']
6878,"['V03AB17', 'V04CG05']"
4917,"['C01DA02', 'C05AE01']"
8834,['B01AD12']
11246,"['A11CA01', 'D10AD02', 'R01AX02', 'S01XA02']"
29155,"['A02AA01', 'A06AD01']"
83818,['C09CA04']
5492,"['A01AC03', 'A07EA02', 'C05AA01', 'D07AA02', 'D07XA01', 'H02AB09', 'S01BA02', 'S01CB03', 'S02BA01']"
2418,['A11CC05']
72143,['G03XC01']
9524,['A07EC01']
9601,"['A04AD01', 'N05CM05', 'S01FA02']"
3264,"['A01AC02', 'C05AA09', 'D07AB19', 'D07XB05', 'D10AA03', 'H02AB02', 'R01AD03', 'S01BA01', 'S01CB01', 'S02BA06', 'S03BA01']"
3443,"['C05AE03', 'C08DB01']"
5509,['D11AX11']
3435,['G01AC01']
3255,"['D07AC03', 'D07XC02']"
1191,"['A01AD05', 'B01AC06', 'N02BA01']"
6468,['A07DA03']
6135,"['D01AC08', 'G01AF11', 'H02CA03', 'J02AB02']"
1596,"['A06AB02', 'A06AG02']"
10030,['A01AA04']
4850,"['B05CX01', 'V04CA02', 'V06DC01']"
41126,"['D07AC17', 'R01AD08', 'R03BA05']"
7052,['N02AA01']
