original_rxcui,variable,rxcui,name
1989901,IN,34693,propylene glycol
1312375,IN,1312375,influenza A virus
824586,IN,8928,psyllium
1100650,IN,2062,carboxymethylcellulose
2369384,IN,34693,propylene glycol
852834,IN,852834,Kentucky bluegrass pollen extract
211666,IN,6922,metronidazole
2480108,IN,10759,triamcinolone
1995543,IN,1995537,voretigene neparvovec
1307719,IN,1307719,Atractylodes lancea root extract
1090496,IN,3289,dextromethorphan
209990,IN,10223,sulfur
598050,IN,8570,polyvinyl alcohol
1367410,IN,4018,ergocalciferol
1188426,IN,2062,carboxymethylcellulose
2593946,IN,10847,tripelennamine
2465831,IN,2465831,acid yellow 1
2123038,IN,5666,immunoglobulin G
283297,IN,11256,vitamin E
1422103,IN,6387,lidocaine
895753,IN,34693,propylene glycol
1999003,IN,1999003,angiotensin II
1493160,IN,1378,benzalkonium
801169,IN,11248,vitamin B12
1426466,IN,1426466,Dunaliella salina extract
155046,IN,155046,pentosan polysulfate
312984,IN,9863,sodium chloride
1038982,IN,9525,salicylic acid
240725,IN,10223,sulfur
477589,IN,34693,propylene glycol
2590603,IN,2590603,Camellia chekiangoleosa seed oil
1251583,IN,1047072,moxidectin
197877,IN,6387,lidocaine
1543069,IN,6387,lidocaine
1422107,IN,6387,lidocaine
1236277,IN,577312,"mineral oil, light"
1655936,IN,6750,menthol
799040,IN,274964,ciclesonide
1235569,IN,37935,tetrahydrozoline
1655960,IN,6851,methotrexate
1426460,IN,1426460,D&C blue no. 4
1012523,IN,6227,lanolin
309714,IN,27334,hypromellose
1044949,IN,3289,dextromethorphan
1233540,IN,7980,penicillin G
1860422,IN,1860422,4-(p-hydroxyphenyl)-2-butanone
2198900,IN,1657128,influenza A virus (H1N1) antigen
198750,IN,6873,methylcellulose
1495050,IN,9863,sodium chloride
1488329,IN,1426,benzyl alcohol
308814,IN,308814,brown mixture
1164620,IN,3423,hydromorphone
151875,IN,27084,homatropine
309150,IN,272,activated charcoal
866164,IN,8091,petrolatum
1868847,IN,6873,methylcellulose
581662,IN,448,ethanol
220601,IN,11002,urea
235535,IN,235535,carbomer
1310705,IN,1310705,fast green FCF stain
1994404,IN,9525,salicylic acid
1369778,IN,1418,benzoyl peroxide
1089798,IN,8570,polyvinyl alcohol
