clean_name,rxcui
Artelac Nighttime Eye Gel 0.2 %,1989901
Onetouch Ultrasoft Lancets Type A 0.4 Mm 28 Gauge,1312375
Macrogol Compound Oral Powder Sachets Npf Sugar Free,824586
Optive Eye Drops Carmellose 0.5% 10Ml Bottle,1100650
Ocusan Eye Drops Sodium Hyaluronate 20X0.5Ml Single Dose Unit,2369384
Aerochamber Plus Spacer Device Standard Blue With Face Mask,852834
Zerocream Cream,211666
Kenalog Suspension For Injection 40 Mg Ml 1 Ml Vial,2480108
Humapen Luxura Pen Burgundy 3Ml 1-60Units,1995543
Microlet Lancet 0.5Mm 28Gauge,1307719
Clinifast Vest Long Sleeve Medium Adult,1090496
Dreamskin Briefs Female Adult Small,209990
Optive Eye Drops 0.5 %,1100650
Dreamskin Briefs 11-12 Years,598050
One Touch Ultrasoft Lancets Type A 0.4 Mm 28 Gauge,1312375
Humapen Ergo Pen Burgundy 3Ml 1 Unit 1-60 Units,1367410
Macrogol Compound Oral Powder Sachets Sugar Free,824586
Hylo-Care Eye Drops Preservative-Free,1188426
Humapen Luxura Re-Usable Pen 3 Ml 1-60 Units Burgundy,2593946
Multiclix Lancet 0.3Mm 30Gauge,1307719
Sharpsguard Container 1 Litre Yellow,2465831
Ascensia Microlet Lancets Pip Code 280-0050,2123038
Glucomen Fine Lancets Type A 0.45 Mm 26 Gauge,1312375
Sulphasalazine E C Tablets 500 Mg,283297
Epaderm Cream Emollient 500G Pump,1422103
Vistamethasone Ear Eye Nose Drops 0.1%,316958
Epaderm Cream,1422103
Systane Gel Eye Drops,895753
Soft Clix Ii Lancets,1999003
Sharpsafe Container 1 Litre,1493160
Vita-Pos Eye Ointment Preservative-Free,801169
As Saliva Orthana Oral Spray 50 Ml,1426466
Prontosan Wound Gel,155046
Optiflo S Catheter Solution Saline 0.9 % 100 Ml,312984
Qv Gentle Wash,1038982
Accucheck Soft Clix Lancets Appl,240725
Accu-Chek Multiclix Lancet Drum,1307719
Systane Eye Drops Unit Dose Preservative Free 0.2 % 0.8 Ml Unit Dose,477589
Accu-Chek Softclix Lancets,2590603
Advantage Ii Plastic Reagent Strip,1251583
Coban 2 Lite Multi-Layer Compression Bandaging Kit One Size,197877
Debrisoft Physical Debridement Pad 10 Cm X 10 Cm,1543069
Comfifast Stockinette 7.5 Cm X 5 M Blue Line,1422107
Xailin Night Eye Ointment Preservative-Free,1236277
Comfifast Stockinette 7.5 Cm X 3 M Blue Line,1655936
Ascensia Microlet Lancet Lancet,2123038
Fostair Cfc-Free Inhaler 200 Micrograms + 6 Micrograms Dose,799040
Vismed Multi Eye Drops Preservative-Free 0.18 %,1235569
Freestyle Lancet 0.5Mm 25Gauge,1307719
Sodium Hyaluronate Eye Drops Preservative-Free 0.18 %,1655960
Carmellose Sodium Eye Drops 0.5 %,1188426
Optiflo S Catheter Solution Saline 0.9 % 50 Ml,312984
Vistamethasone N Ear Eye Nose Drops,316958
Novopen 4 Pen Blue 3Ml 1Unit 1-60 Units,1426460
Unilet General Purpose Superlite Lancet 0.66Mm 23Gauge,1012523
Elasticated Viscose Stockinette 7.5 Cm X 5 M Blue Line,1422107
Tear-Lac Eye Drops Preservative-Free 0.3 %,309714
Tear-Lac Hypromellose Eye Drops Preservative-Free 0.3 %,309714
Elasticated Viscose Stockinette Acti Fast Blue Line Large Limb 7.5Cmx5M,1655936
Vitalograph Peak Flow Meter Standard Range Adult 43602,1044949
Optipen Pro 1 Pen Green 3Ml 1 Unit 1-60 Units,1233540
Medisense Optium B-Ketone Test Strip Blood Testing 10,1860422
Thin Lancets Type A 0.36 Mm 28 Gauge,1312375
Qv Cream,2198900
Methylcellulose Tablets 500 Mg,198750
Nebusal Inhalation Solution Sterile 7 % 4 Ml Vial,1495050
Advantage 2 Reagent Strip,1251583
